Country name,Ladder score
Afghanistan,2.566900015
Albania,4.882699966
Algeria,5.005099773
Argentina,5.974699974
Armenia,4.676799774
Australia,7.222799778
Austria,7.294199944
Azerbaijan,5.164800167
Bahrain,6.227300167
Bangladesh,4.832799911
Belarus,5.539899826
Belgium,6.863500118
Benin,5.21600008
Bolivia,5.747499943
Bosnia and Herzegovina,5.674099922
Botswana,3.478899956
Brazil,6.375599861
Bulgaria,5.101500034
Burkina Faso,4.768700123
Burundi,3.775300026
Cambodia,4.848400116
Cameroon,5.084899902
Canada,7.23210001
Central African Republic,3.475899935
Chad,4.422699928
Chile,6.228499889
China,5.123899937
Colombia,6.163400173
Comoros,4.288599968
"Congo, Dem. Rep.",4.31099987
"Congo, Rep.",5.194399834
Costa Rica,7.121399879
Cote d'Ivoire,5.233300209
Croatia,5.504700184
Cyprus,6.15899992
Czech Republic,6.910900116
Denmark,7.645599842
Dominican Republic,5.689199924
Ecuador,5.925199986
"Egypt, Arab Rep.",4.151400089
El Salvador,6.34829998
Estonia,6.021800041
Eswatini,4.308100224
Ethiopia,4.186200142
Finland,7.808700085
France,6.663799763
Gabon,4.829299927
"Gambia, The",4.750599861
Georgia,4.672599792
Germany,7.075799942
Ghana,5.147999763
Greece,5.514999866
Guatemala,6.398900032
Guinea,4.949299812
Haiti,3.720799923
Honduras,5.953199863
"Hong Kong SAR, China",5.510399818
Hungary,6.000400066
Iceland,7.504499912
India,3.573299885
Indonesia,5.285600185
"Iran, Islamic Rep.",4.672399998
Iraq,4.784800053
Ireland,7.093699932
Israel,7.128600121
Italy,6.38740015
Jamaica,5.889800072
Japan,5.870800018
Jordan,4.633399963
Kazakhstan,6.057899952
Kenya,4.583000183
"Korea, Rep.",5.872399807
Kuwait,6.102099895
Kyrgyz Republic,5.541500092
Lao PDR,4.888599873
Latvia,5.949999809
Lebanon,4.771500111
Lesotho,3.652800083
Liberia,4.557899952
Libya,5.488800049
Lithuania,6.215499878
Luxembourg,7.237500191
Madagascar,4.165599823
Malawi,3.538000107
Malaysia,5.384300232
Maldives,5.197599888
Mali,4.729300022
Malta,6.772799969
Mauritania,4.374599934
Mauritius,6.101299763
Mexico,6.465000153
Moldova,5.607500076
Mongolia,5.456200123
Montenegro,5.54610014
Morocco,5.094799995
Mozambique,4.623600006
Myanmar,4.308000088
Namibia,4.571100235
Nepal,5.137199879
Netherlands,7.448900223
New Zealand,7.299600124
Nicaragua,6.13710022
Niger,4.909599781
Nigeria,4.724100113
North Macedonia,5.159800053
Norway,7.487999916
Pakistan,5.69329977
Panama,6.304800034
Paraguay,5.692100048
Peru,5.796800137
Philippines,6.006000042
Poland,6.186299801
Portugal,5.910900116
Romania,6.123700142
Russian Federation,5.546000004
Rwanda,3.312299967
Saudi Arabia,6.406499863
Senegal,4.980800152
Serbia,5.77820015
Sierra Leone,3.926399946
Singapore,6.377099991
Slovak Republic,6.280600071
Slovenia,6.363399982
South Africa,4.814099789
South Sudan,2.816600084
Spain,6.400899887
Sri Lanka,4.327000141
Sweden,7.353499889
Switzerland,7.559899807
Tajikistan,5.555699825
Tanzania,3.476200104
Thailand,5.998799801
Togo,4.187200069
Trinidad and Tobago,6.191899776
Tunisia,4.392199993
Turkey,5.131800175
Turkmenistan,5.119100094
Uganda,4.43200016
Ukraine,4.56069994
United Arab Emirates,6.790800095
United Kingdom,7.164500237
United States,6.939599991
Uruguay,6.440100193
Uzbekistan,6.257599831
"Venezuela, RB",5.053199768
Vietnam,5.353499889
West Bank and Gaza,4.552800179
"Yemen, Rep.",3.527400017
Zambia,3.759399891
Zimbabwe,3.299200058
